model_name,reference,prediction,rouge1,rouge2,rougeL,bs_f1_raw
aya-expanse:8b,艾德、瓦莱丽、里斯、罗、艾妮、杰西卡、马特都在嘲笑没有婚姻的性爱的罪恶。,Ed 认为性行为仅限已婚夫妇，并严厉批评其他人的观点。Valerie 和 Chris 反驳说，即使是传统任务式性行为也并非绝对正确。Lor 幽默地表示，如果不遵守这些规则，在来世可能会感到内疚。Atnee 和 Jessica 支持 Ed 的观点，认为性行为的唯一目的是生育。Matt 开玩笑地威胁要把Ed送入地狱。Ed 坚定地维护自己的立场，拒绝看其他男性。,15.0,0.0,15.0,59.89
aya-expanse:8b,迈克在伦敦。,"杰克：天啊！你在伦敦？！
迈克：（附照片）
迈克：是的，兄弟！梦想成真了！
杰克：酷！恭喜你！",18.18,6.45,12.12,65.25
aya-expanse:8b,里奇和克莱看了一场非常精彩的足球比赛，一个足球运动员把球铲回自己的脚边，特别刺激。何塞信任那个球员。,里奇和克莱讨论了波格巴的出色表现。里奇称赞波格巴的进球，并指出他在赛季中变得更加成熟。克莱同意，并认为波格巴值得在上半场后得到进球奖励。他们都对波格巴的表现感到高兴。,22.78,5.19,22.78,63.49
aya-expanse:8b,亚历克看到美国的达人秀，他发了个链接给亚莉克莎。,亚历克问艾丽莎是否看过最近的《美国达人秀》。艾丽莎没有看。亚历克发送了一个视频链接，但最初无法打开。经过一会儿，链接成功了。亚历克建议艾丽莎观看，并表示她会喜欢的。艾丽莎同意，并称赞那个女孩很棒。她表示希望自己年轻时有那女孩一半的技能。亚历克也认为那个女孩表现出色，甚至可能赢得该届比赛。艾丽莎问亚历克是否看过所有参赛者，亚历克回答是的，并表示他个人觉得那个女孩是最好的。艾丽莎希望她能获胜。,9.45,0.0,7.87,67.03
aya-expanse:8b,詹姆斯要去上班，所以他不看比赛。,"汉娜：你在看比赛吗？
詹姆斯：不，我要去工作。
汉娜：哦，好的。",37.5,6.67,18.75,72.16
aya-expanse:8b,在多尔夫的提醒下，齐格勒明天会把护照带来。,"多尔夫：明天记得带护照。
齐格勒：好的，我会记住的。",48.28,14.81,34.48,73.84
aya-expanse:8b,威廉在做意大利面，奥莉维亚会给威廉买新鲜的西红柿，贝丝会买巧克力。,威廉正在做意大利面，请奥利维亚买一些新鲜番茄。贝丝会买点巧克力作为晚餐后甜点。,51.28,21.62,51.28,83.88
aya-expanse:8b,蒂娜必须学习黛米的方法，即如何从讨厌男人转变成和他们约会。,蒂娜（Tina）抱怨Facebook不断推荐帕特里克（Patrick），德米（Demi）笑了。蒂娜表示她需要学习如何从仇视男性到与他们建立关系，并提到在经历重大心碎后，德米成功地改变了自己。她们讨论了关于喜欢不同类型男性的观点，并计划组织相关工作坊。蒂娜表示她只喜欢一种类型，但德米建议她放松一点，探索其他可能性。蒂娜表达了希望独立于他人情绪的需求，德米表示理解。她们约定见面，并开玩笑说如果蒂娜无家可归，德米会收留她。,10.69,1.55,7.63,65.75
aya-expanse:8b,埃文会让伊森来的。,艾莉森问埃文是否和伊桑讨论了功能问题。埃文回答已经这样做了，并说伊桑可能不会来。艾莉森要求埃文想办法让伊桑来，埃文表示会尽力。,13.95,0.0,9.3,69.09
aya-expanse:8b,巴特这学期成绩不好，因为他学习不多。他花很多时间玩星际争霸。阿德里安考得好是因为上课专心听讲。,巴特已经收到了自己的成绩单，发现整个学期都表现不佳。他因为经济学的最终考试失败而感到沮丧。阿德里安建议他下学期再考，并分享了自己的学习方法——上课认真听讲，不需要花太多时间复习。巴特承认自己因为玩《星际争霸》而分心，承诺不再在学校期间玩游戏，但表示会适量娱乐。,27.08,4.26,20.83,71.83
aya-expanse:8b,肖恩相信他的灵兽是乌龟，而蒂芙尼可能是黄蜂。,肖恩经过深思熟虑后决定自己的精神动物是乌龟。他最近才知道每个人都有一个，感觉很迷失，不知道自己到底是谁。经过多日思考，他终于确定自己是乌龟。蒂芙尼认为他可能只是被困扰了，建议他可能不是乌龟，而是黄蜂。,24.32,5.56,18.92,71.25
aya-expanse:8b,凯特正在给她和乔治买苹果。他们得等到下周才能买到橘子。,凯特在超市，乔治问她是否为明天学校买些水果。乔治想要一个苹果，凯特也打算买一个。乔治还询问橙子是否有货，凯特回答下周才到货。,28.57,3.7,21.43,71.54
aya-expanse:8b,茱莉亚回来后会给罗纳德打电话，他有事要告诉她。,罗纳德问朱莉周末过得怎么样，朱莉回答还好但家里有些不和谐，父母在争论吃什么。朱莉表示不再想和他们一起吃饭。罗纳德表示同情并邀请朱莉周末后打电话给他，说有事情要告诉她，可能会让她开心起来。朱莉调侃地回应说她看到了“彩虹斑马”。,20.51,5.26,15.38,69.12
aya-expanse:8b,马修感冒了，他要喝些橙汁，然后去睡觉。,马修感冒了，需要大家支持。丽莎建议他喝橙汁，做点汤，并鼓励他坚持下去。马修表示会尝试。他透露可能是过敏加上病毒导致的。丽莎表示很抱歉，建议他休息，好好睡觉。马修同意，并祝晚安。,24.24,15.62,24.24,72.28
aya-expanse:8b,乔茜觉得艾柯的小说《福柯的钟摆》书呆子气。乔茜很想读意大利的艾柯，但她对自己的语言能力没有把握。斯特凡诺认为艾柯的两部小说很难。乔茜读过萨勒曼拉什迪对《福柯的钟摆》的一个负面评论。,斯蒂芬诺和乔西讨论了福柯的摆（Foucault's Pendulum）。乔西觉得这本书很奇怪，而且怀疑作者是不是意大利人。斯蒂芬诺解释说，乌菲克·埃科（Umberto Eco）是个“书呆子”，而不是所有意大利书籍都关于披萨、黑手党和曼多林。乔西表示她想尝试读原版意大利文小说，但担心自己的意大利语水平不足。斯蒂芬诺提到《玫瑰的名字》（The Name of the Rose）对非母语者来说非常困难。他解释说，《福柯的摆》设定在80年代，语言更容易理解，但内容同样复杂。乔西分享了她读过的萨曼·鲁什迪（Salman Rushdie）对《福柯的摆》的负面评论，称它不像小说，而像电脑游戏。斯蒂芬诺开玩笑说这很荒谬。两人最后开玩笑调侃对方。,27.31,8.89,20.26,70.47
aya-expanse:8b,下雨了，所以瓦尔和坎迪要等半小时才走。,下雨了！Val建议出门会湿，Candy认为先等一会儿看看是否停雨。Val同意等待半小时再决定，并约定在那时通过电话商量。,23.81,10.0,23.81,68.58
aya-expanse:8b,托马斯、谢拉和杰里米仍然没有收到赠款。托马斯破产了，每小时都要查看他的银行账户。塞拉提出借钱给他。,托马斯和杰里米都还没有收到资助。托马斯因为资金短缺而焦急地每小时检查一次银行账户。西拉安慰他，表示如果需要可以借给他一些钱，并建议他保持耐心。,49.28,17.91,37.68,79.22
aya-expanse:8b,卡米拉周六有一些差事要办。查尔斯本周末将访问德国市场。他们正在谈论圣诞食品和饮料。,查尔斯和卡米拉讨论了周末计划。查尔斯计划去伯明翰和曼彻斯特的德国市场，品尝香肠和啤酒。卡米拉表示会尝试去，因为她很久没有去过。他们还聊到了热红酒（多加香料的红葡萄酒），查尔斯推荐一定要试试。他们都开玩笑说自己会喝得头痛。最后，他们互相祝愿周末愉快。,23.66,8.79,15.05,66.98
aya-expanse:8b,戴安娜和拉塞尔在给妈妈买礼物。,Russell 发送了一张文件，并说：“看看这个，这是给妈妈的完美礼物：D” Diana 笑着点头，表示价格很合理。然后她问：“我们买它吗？” Russell 兴奋地回答：“当然！”,13.79,3.57,10.34,59.7
aya-expanse:8b,安斯利病了，所以她现在不能帮简写论文。,"简：你现在有空吗？能帮我看看那篇论文吗？

安斯利：抱歉，我生病了，不太能帮上忙。我感冒了，每两秒就打一个喷嚏。

简：哦...好吧，希望你很快好起来...",16.67,3.45,13.33,66.27
aya-expanse:8b,菲奥娜爱上了他的学生康拉德。,菲奥娜无法忍受与康拉德（她的学生）在一起的感觉，即使他只有她五岁。万达认为这种情况太过分，并指出菲奥娜对他的感情已经超出界限。菲奥娜承认自己无法控制这种情感，担心如果被上司发现会造成麻烦。万达鼓励她勇敢面对并采取行动。,14.71,6.06,8.82,66.13
aya-expanse:8b,玛格丽特和埃文斯计划在4日10点和11日11点会面。他们两人都不确定下一次见面的时间，所以他们会在晚些时候定一下约会的日期。,玛格丽特提议在12月4日和11日10点或11点见面，埃文斯确认了这两个时间。玛格丽特还提到了18日，但埃文斯不确定是否能到。他们同意如果18日不可行，可以改到17日，但埃文斯可能也无法参加。最终决定在12月4日10点见面，并约定下周再讨论其他时间。,35.09,16.07,26.32,74.04
aya-expanse:8b,通过看照片，阿尔奇认为梅兰妮卷发更好看，路易斯不同意。,路易斯和阿奇在讨论一个GIF，看起来像梅兰妮。阿奇认为她以前留着卷发更漂亮，而路易斯则坚称直发更美。他们开玩笑地争论着，但都尊重对方的观点。,24.56,3.64,21.05,72.38
aya-expanse:8b,琳达没赶上火车，下一班一小时后就到了。返回阿姆斯特丹的费用是80欧元。,林达错过了火车，约瑟夫询问下一次出发时间，得知一个小时后有下一班。达西安慰她这不是大灾难。林达表示票价高达80欧元，需要返回阿姆斯特丹，并表达了惊讶之情。,37.5,16.13,25.0,75.06
aya-expanse:8b,莱万多夫斯卡得了麻疹。从17号到19号，所有和她接触过的人都在主楼接种疫苗。,他们正在通过邮件通知关于Lewandowska的情况。她因患上麻疹而住院。与她在过去几天内有过接触的人需要接种疫苗。乔安娜是她的论文导师，但幸运的是她没有在最近学期与她有过面对面的交流。学校将在17日至19日在主楼组织疫苗接种活动。乔安娜计划在18日工作前尽量完成接种。,26.17,5.71,16.82,70.33
aya-expanse:8b,卡尔在等梅格，她找不到钥匙，要迟到了。,"卡尔：你在哪里？
卡尔：我还在等你！
梅格：我还需要五分钟，我把钥匙丢了。",41.03,10.81,35.9,71.86
aya-expanse:8b,玛丽亚厌倦了她的工作。,玛丽亚表示对工作感到厌倦，无法再忍受。安娜斯塔西亚理解她的感受，但建议她冷静下来。费利克斯也劝她不要冲动做出决定。玛丽亚感到伤心。,23.81,5.0,19.05,72.21
aya-expanse:8b,卢克明天下午2点22分要去冲浪。,卢克今天冲浪经历了糟糕的一天：零波浪、三次被拍打，还有一次被板子击中头。尽管如此，他仍期待下一次冲浪。肯和夏尔也分享了自己类似的冲浪经历。卢克明天下午两点二十二分将再次尝试，并提到低潮时能更好地看到岩石。埃里克则认为中潮通常更理想，因为看到岩石可能很危险。,9.64,4.94,7.23,66.16
gemma4:e4b,佩顿给麦克斯提供了卖衣服的网站。他喜欢浏览、试穿衣服，但不一定都会买。他经常买衣服和书，因为他也喜欢阅读。,两人讨论了购买衣服的网站，并分享了各自的购物习惯。Max询问Payton是否喜欢购物，Payton表示喜欢逛街和试穿，但不一定每次都买东西；她透露自己最容易抗拒的两样东西是衣服和书。,45.98,18.82,41.38,73.57
gemma4:e4b,凯利很害怕芬兰雕塑花园里的人物，因为她觉得那些人物的脸非常病态。对奥利来说，这就像日本的人偶村，令人毛骨悚然。,大家分享了各自推荐的“恐怖”景点。凯莉介绍了芬兰的一个雕塑花园，虽然不是雕塑本身可怕，但因为数量多且雕像的面部表情（如拥抱、运动等）让人感到诡异，而且到处都是盯着人的脸。奥利则推荐了日本名古屋村，描述了一个与真人大小的雕像数量超过实际居民数量的村庄，气氛非常阴森恐怖。大家对这些地方都表示了惊悚感。最后，大家互相道别。,24.24,3.08,16.67,65.52
gemma4:e4b,贝拉和埃里克拒绝了一个客户的要求。他们老板很赞赏这个决定。他会吸引新的客户来。,艾里克询问了老板办公室发生的事情，贝拉澄清老板并没有生气，反而赞赏他们果断拒绝客户请求的决定。两人对老板的反应感到惊讶，艾里克猜测这可能是因为老板原本想引入竞争对手的新客户，而这个结果反而成了好事。,38.46,2.63,23.08,70.18
gemma4:e4b,玛丽的钱用完了，卡特打算一小时后借给她一点。,玛丽向卡特借钱，卡特说一小时后在火车站给。,42.86,23.08,42.86,79.05
gemma4:e4b,杰克和梅一会儿要喝鸡尾酒。,杰克问玛雅稍后要不要喝鸡尾酒，玛雅非常兴奋地同意了。当杰克开玩笑说她今天有点紧张时，玛雅承认了这一点，并表示喝酒会有帮助，最后两人约定可以喝两杯。,15.38,4.0,15.38,67.61
gemma4:e4b,约瑟夫给艾拉发了一张乌耶克·雅内克家双胞胎奶牛的照片，艾拉很高兴。,约瑟夫发了照片，艾拉认出是小奶牛；约瑟夫说那是“Wujek Janek”的双胞胎奶牛，艾拉纠正为“Twins”，并对这些小奶牛表示喜爱和想触摸的愿望。,33.9,10.53,23.73,72.84
gemma4:e4b,之前阿黛尔得到了一只新的可爱的拉布拉多狗，4个月大，名叫秋伊。她的猫咪们和她保持着距离，而小狗波比和露露都很像它们的妈妈秋伊和斯皮迪，都想出去玩。,阿黛尔和洛拉聊起阿黛尔新养了一只四个月大的比斯吉犬幼犬，名叫Bones。她们谈到其他宠物对小狗的反应，提到猫咪保持距离，但Poppy和Lulu似乎像母狗一样照顾它，而Speedy则想玩耍。阿黛尔分享了她之前收养的成年狗狗需要断奶，并且指出了公狗和母狗都比较爱打架的特点。洛拉对小狗感到可爱并期待看到它。,43.41,7.87,27.91,73.53
gemma4:e4b,琳达和劳拉明天要去一家意大利餐馆。,两人讨论了第二天的去处，最终决定去一家意大利餐厅，琳达特别提到了那里的意面和布朗尼。劳拉提醒她以前不吃甜食，但琳达解释说这个布朗尼不太甜。,25.0,8.7,12.5,70.52
gemma4:e4b,米娅今晚下班后要和她的女性朋友一起出去。如果她愿意，艾略特会来接她。,米娅向男友征得同意晚上下班后和朋友们出去聚会喝酒，男友同意了，并叮嘱她不要太晚回来，如果需要接送就打电话告诉他。,30.77,4.0,26.92,71.58
gemma4:e4b,瑞安和塞巴斯蒂安担心乌克兰的政治局势。,两人对乌克兰局势和俄方行为感到担忧，并希望各国领导人能采取行动。,17.39,0.0,8.7,68.32
gemma4:e4b,费恩和查蒂明天2点去象堡，他们会在正门碰头。,芬恩提议第二天和扎迪一起去一个据说有很多拉丁美洲风情的小区“大象与城堡”，扎迪同意了，并建议下午两点左右见面。他们约定在购物中心的入口处会合。,15.69,4.08,15.69,65.87
gemma4:e4b,汤姆下午2点会在椭圆形会议室与本会面。他会先告诉对方把文件带来。,汤告诉本，下午两点在椭圆形房间会面，并提醒他带好所有文件，准备一场激烈的战斗，要不留情面，射杀敌人。两人都表示必须赢得这场战役，因为正义站在他们这一边。,25.0,6.45,18.75,68.73
gemma4:e4b,艾略特现在没空和乔丹说话，他很忙。晚上6点他会给乔丹回电话。乔丹要去参加布拉德的葬礼，布拉德因肝癌去世了。,艾略特因忙碌无法通话，提议两小时后再回电。乔丹告知正在参加同事布拉德的葬礼（他患了肝癌），并表示今晚会回电。两人互相慰问，最终约定艾略特晚上八点致电。,41.56,13.33,25.97,73.97
gemma4:e4b,弗洛要到6号才能预约到做头发。她担心自己头发会变成灰色，所以必须在特易购买一套补色工具。,弗洛的沙龙要到六号才能去，因为太忙了。吉娜建议她去Tesco买个补色套装。,33.33,4.35,29.17,72.82
gemma4:e4b,根据杰克所说，理应由大卫承担责任。等杰克回家后他们再谈。,杰基承认了昨天戴维的观点，特别是关于承担责任的部分。两人约定稍后通话，杰基回家后会打电话给戴维。,23.81,5.0,23.81,69.58
gemma4:e4b,阿黛尔放学后得打扫仓鼠笼。,皮特让阿黛尔打扫仓鼠笼，阿黛尔承认是她的回合，并最终同意了。,32.0,17.39,32.0,74.54
gemma4:e4b,玛雅会在药房为伦道夫买5包耳塞。,兰道询问玛雅是否还在药店，并让她帮忙买四到五包耳塞。玛雅答应帮他买了五包。,24.24,0.0,18.18,74.03
gemma4:e4b,法蒂玛很担心詹森和艾琳。艾琳遇上了一些问题。但林肯不希望法蒂玛为别人操心太多。,林肯和法蒂玛讨论了关于阿琳的困境。法蒂玛提到詹森对阿琳的状况不太满意，并担心她可能患有抑郁症，但阿琳不愿就医。林肯对此持冷漠态度，认为这是每个人都会有的问题，并暗示这不是法蒂玛该操心的事情。两人争论了谁应该为朋友的问题负责，最终林肯指责法蒂玛过于关注他人，而法蒂玛则感到被批评和伤心。最后，林肯劝她专注于自己，不再过度担忧别人。,22.95,3.33,14.75,70.7
gemma4:e4b,米科和杰夫要去参加村里的聚会，杰夫开车。,关于是否去村里派对的讨论，莉亚因爬山太累不想去。米科对此很感兴趣，并开玩笑说那里可能有“帅哥”，引来吉姆和米科之间关于“淳朴”和“不会说英语”的调侃。最终，尽管莉亚不感兴趣，但米科和杰夫决定一起去派对，并且计划由米科开车。,21.05,2.7,15.79,67.87
gemma4:e4b,艾拉没有接哈利的电话。在哈利的请求下，辛迪给艾拉打了电话。,哈里让辛迪给艾拉打电话，告知她有急事需要谈，并让她接电话。辛迪一开始不耐烦和抱怨，但最终还是照办了。,24.0,12.5,20.0,69.31
gemma4:e4b,肯恩正试图捉弄格雷格。,肯指责格欠钱，但随后承认自己是开玩笑，两人互相骂了一句。,0.0,0.0,0.0,60.39
gemma4:e4b,西蒙五分钟后会和阿德里安谈一谈。,亚德里安询问西蒙是否方便通话，但双方都表示没什么重要的事情。西蒙说下午五点有空，两人约定届时再联系。,5.88,0.0,5.88,61.58
gemma4:e4b,加布想在线下和凯特见一面。但是凯特不喜欢加布的要求，所以她不会再和他说话了。,甲和乙在聊天后，甲提议见面喝酒。乙表示目前很忙不确定时间，并拒绝了与网上认识的陌生人见面。当甲继续说服时，乙态度变得疏远，最后让甲感到困惑和不安。,19.44,0.0,16.67,62.01
gemma4:e4b,阿加莎为自己感到骄傲，因为她已经完成了经济学相关的报告。她对经济学很感兴趣。,阿加莎的经济学报告准备好了，亚当询问后得知是关于经济学的，并对内容表示好奇。阿加莎自信地表示使用了最新研究，两人都认可了她对经济学的热情和专业性。,31.75,6.56,25.4,70.47
gemma4:e4b,凯恩向香农推荐30秒上火星乐队的新专辑。,凯恩向肖恩推荐了新的《致火星》专辑，肖恩表示感谢。,38.46,8.33,30.77,78.64
gemma4:e4b,米兰达昨天打电话给汤姆，很甜蜜地和他讲话。安妮很生她的气，因为她正在和汤姆约会。,安和凯瑟琳等人对米兰达非常不满，认为她昨天打电话给汤姆的行为（尤其是在知道他们交往的情况下）是故意想抢走汤姆。诺拉则不以为然地反驳说米兰达不是汤姆喜欢的类型。,36.11,11.43,25.0,70.13
gemma4:e4b,莉莉和托马斯度过了一个美好的夜晚。托马斯是罗马尼亚人，来自一个非常富有的家庭。,莉莉和凯特聊起昨晚的经历，莉莉说她和一个名叫托马斯的男人度过了非常美好的夜晚。对方是罗马尼亚人，家境极其富裕，在伦敦工作于LSE。尽管凯特觉得这很“可预测”，但莉莉表示他让她感到惊喜，因为他在方方面面都超出了她的预期，让她感到非常愉悦。凯特为她能放松和享受乐趣感到高兴。,30.77,15.69,26.92,72.67
gemma4:e4b,杰克预定了三张明天晚上七点的票。他能享受七折优惠。,鲍勃询问是否预订了明天的票，梅兰妮说杰克答应了她会做，并提到有工作折扣。鲍勃随后问杰克，杰克确认已预订了三张明天晚上七点的票，并且获得了30%的折扣。,28.12,22.58,28.12,76.44
gemma4:e4b,彼得最近一直在他们办公室附近的健身房锻炼以改善健康状况。为了更健康，丽莎正在考虑锻炼和更加合理饮食。,两人聊起保持健康的方式，彼得提到自己健身是为了改善健康而非减肥，他常去公司附近的健身房做力量训练和跑步。丽莎补充说除了运动，饮食和充足的睡眠也是维持健康的必要条件，并一致认为需要养成长期良好的生活习惯。,28.92,7.41,16.87,71.5
gemma4:e4b,杰西卡在市中心的二手商店买了一张桌子、六把椅子、一个花瓶和一堆衣服。这些一共花了70欧元。,杰西卡去了市中心的二手店，买了很多东西，包括一张橡木桌子、六把椅子、一个花瓶和一堆衣服。拉斐尔称赞了桌子，弗兰克则对黑色的连衣裙表示喜爱。杰西卡非常满意自己的购买，并且所有这些物品的总价仅为70欧元。,52.38,34.15,50.0,81.77
gemma4:e4b,卢西恩不在家。德西蕾希望卢西恩把她的意大利面放在微波炉里。,迪泽询问卢西安是否在家，并让他把意面放在微波炉里加热。卢西安表示自己什么都没做过饭。,28.57,15.0,28.57,76.14
gemma4:e4b,艾米丽、凯特和玛塔今天要去中央车站的x酒吧喝一杯。,大家决定下班后去酒吧X小酌一杯，时间初步定在下午五点半左右，但凯特可能需要推迟到六点。,25.64,0.0,10.26,64.82
gemma4:e4b,今天玛丽没有去上学，她就待在家里。,玛丽告诉朋友她今天没去学校，在家里。,50.0,0.0,30.0,82.42
gemma4:e4b,克莉丝汀病了，明天不来上学了。安妮会把西拉夫的香囊放在邮箱里。克莉丝汀不想把病传染给她。,安妮询问克里斯汀是否会去学校，得知她因感冒（疑似流感）无法上学。两人交谈后，安妮提出要不要帮忙，并答应稍后将泰拉氟（Theraflu）送到她的信箱。克里斯汀叮嘱安妮不要来探望以免传染，但又让安妮知道如果房间灯亮着可以打电话。,21.51,2.2,15.05,68.11
gemma4:e4b,沙尔多纳通过手机发送了婚礼邀请，因为她没有时间亲自去送邀请函。,莎尔多娜通过聊天软件发送了婚礼电子请柬，但派珀指出，既然没时间亲自送请柬，却期望朋友们出席婚礼，这让她觉得莎尔多娜“太贪心了”。,31.03,10.71,27.59,76.57
gemma4:e4b,康拉德忘了带钥匙，所以回不了家。瑞贝卡和蒂芙妮回来得晚，他得在咖啡厅等。,康拉德在外面忘了带钥匙，丽贝卡和蒂芙尼的到家时间都不确定或更晚，于是康拉德决定去咖啡馆等。,46.15,20.0,38.46,80.16
gemma4:e4b,卢德米拉小时候最喜欢的恐龙是三角龙。,雅科波问露德米拉小时候有没有喜欢的恐龙，露德米拉回答是三角龙，雅科波表示稍后会告诉她原因。,45.71,30.3,45.71,76.29
gemma4:e4b,在玛丽亚和妮可的建议下，克莱尔正在订购她的婚纱。,大家都在看一件衣服，虽然克莱尔觉得颜色不够鲜艳可以更深一点，但妮可和玛丽都极力推荐，并强调了价格合适，最终克莱尔表示同意购买。,17.02,0.0,17.02,67.03
gemma4:e4b,米罗和他的父母说阿尔巴尼亚语。他的家人在20世纪90年代非法出境离开了阿尔巴尼亚。,艾比和迪伦讨论了与米罗的交谈。艾比提到，在派对上认识的米罗来自阿尔巴尼亚海岸地区，他的父亲曾在20世纪90年代初从那里来到美国，当时情况非常艰难，他们几乎是非法离开的。,42.25,17.39,33.8,74.32
gemma4:e4b,丹、蒂姆、克里斯和马丁8点碰面。丹和马丁这次会放松一下。汤姆来不了，因为他岳父岳母家有个聚会。,大家确认了周六是否要出去，地点在市中心。汤姆表示不能参加因为要去娘家参加派对。最后确定时间为晚上八点左右结束，但丹提到周日中午需要回家休息和开车准备。对话中还穿插了几句关于年龄和状态的玩笑话。,21.18,2.41,11.76,60.53
gemma4:e4b,迪玛的笔记本电脑坏了，因为她的猫把咖啡洒在笔记本电脑上。 迪玛很担心，因为她明天必须为trados提供翻译。一个小时后迪玛会来纳达家，借纳达的笔记本电脑。,迪马的笔记本电脑坏了，急需用它来完成明天的翻译任务。他向娜达借用旧电脑，娜达虽然说自己已经把旧电脑给了弟弟，但体贴地让迪马使用她这两天休假的时间，并同意让他拿走她的电脑。两人聊到以后需要为备用笔记本投资，最后约定了迪马一小时后去取电脑。,33.33,8.93,22.81,71.87
gemma4:e4b,杰瑞40分钟后到家。,杰瑞告知珍妮特他将在四十分钟后到家，两人互相道别。珍妮特抱怨了工作中的老板让人烦恼。,25.81,13.79,25.81,73.47
gemma4:e4b,娜塔莉怀了戴夫的孩子。简认为萨莉不应该告诉别人，因为娜塔莉是私下告诉他们的。亨利埃特和格雷格很惊讶，孩子的父亲居然是戴夫而不是迈克。,莎莉提起娜塔莉，大家都很好奇。尽管简提醒她保密，但众人追问细节，最终莎莉爆料了娜塔莉怀孕的消息，并透露了父亲是戴夫，令在场所有人感到震惊。,32.5,2.56,25.0,67.82
gemma4:e4b,丽莎还没回家，黛西想要她晚上11点前回来。,黛西让丽莎晚上十一点前到家。,31.58,0.0,21.05,84.79
gemma4:e4b,辛迪很伤心，但不愿意说出原因。艾莉还没看那个疯传的搞笑视频。,艾莉发现辛迪很伤心，但辛迪不想谈论。随后，辛迪分享了一个在网上爆红的视频给艾莉看，艾莉表示没看过，但觉得很有趣。,40.74,19.23,29.63,75.16
gemma4:e4b,本不会和凯瑟琳一起去看望史蒂夫叔叔。他会去看望凯瑟琳和孩子们。,凯瑟琳邀请本去探望史蒂夫叔叔，但本表示不喜欢这类聚会，觉得压力大。尽管凯瑟琳以男孩们想念他为由劝说，本仍心有不甘，认为自己和史蒂夫没什么共同话题，且史蒂夫总喜欢问一些私事问题。最后，在凯瑟琳妥协后，本同意以后找时间去看望孩子们。,26.19,9.76,19.05,69.6
gemma4:e4b,史蒂夫很高兴他装了一台新的洗碗机。,史蒂夫说洗碗机装好了，妈妈看了照片觉得很漂亮。史蒂夫表示它很安静，并提到它似乎是12个餐具位的，但实际上不用每天都用。妈妈对史蒂夫满意感到高兴。,19.61,0.0,11.76,69.06
gemma4:e4b,茱莉亚上周去了考文特花园附近的kohaku咖啡馆，但现在这家店关门了，这让她和亨利大吃一惊。她联系了店主，但还没收到回复。亨利和他的表妹最后去了莉莉家，但那里的气氛不一样。,亨利和茱莉亚谈论了常去的那家咖啡馆“Kohaku”，得知它可能永久关闭，让两人感到遗憾。茱莉亚提到她尝试联系店主但未获回复。最后，她们比较了另一家咖啡馆Lilly's，并讨论了其他替代选择，但亨利对人多的地方不感兴趣。,44.04,7.48,34.86,73.85
gemma4:e4b,卡米拉和汤姆这个周末要去都柏林。,汤姆提议周末去都柏林，卡米拉虽然一开始有些惊讶但最终同意了，并让汤姆购买车票。,33.33,7.14,26.67,72.37
gemma4:e4b,杰森今天约了牙医，所以他没来。,梅根询问杰森的消息，得知他今天缺席了。苏西告知是因为有牙科预约，梅根表示感谢。,33.33,0.0,26.67,70.64
gemma4:e4b,到目前为止，吉尔做了20或30次，每天3-4次，35或40小时，所以和艾丽一样。,两人交流了各自的工作量和工作时长，大致在20到30个左右，每天能完成的量有限制，工时大约是35到40小时。,40.0,6.9,30.0,66.48
gemma4:e4b,詹姆斯和米娅明天想去看艺术展。詹姆斯想让阿米莉亚和他们一起去，但米娅不确定阿米莉亚去不去。之后詹姆斯和米娅会去他家。,詹姆斯告诉米娅，哲学课的讲师阿米莉亚推荐了一个明天开幕的艺术展。尽管米娅对这个组合感到惊讶，但她最终表示愿意去参观，并同意了詹姆斯提议的行程安排（包括看展览和电影）。詹姆斯随后向米娅保证，邀请阿米莉亚并不意味着他不重视两人独处的时光，双方都确认了接下来的计划。,36.36,9.26,21.82,71.24
gemma4:e4b,彩英和亚瑟通知玛丽安娜，史蒂芬研讨会下一次要用的阅读资料周一在印刷店拿不到。丽塔决定明天去看看，如果情况有变，她会让所有人都知道的。,玛丽安询问史蒂芬研讨会下一期的阅读材料是否在打印店，里塔不确定。车英和亚瑟证实周一去时材料不在，且工作人员态度依然差。里塔表示第二天早上会去确认材料是否到，并帮忙要求多印一些，大家对此表示感谢。,33.68,8.6,25.26,71.25
gemma4:e4b,有人在校园里遭到殴打和抢劫，不得不住院治疗。袭击者戴着面具。官方声明会和新闻报道一起发出。杜鲁门和罗德尼都认为尽管周围有摄像头，但校园安保不达标。,有人在校园内遭到殴打和抢劫，伤者已住院但预计无碍。目前警方尚未查明凶手身份，目击者只知道嫌犯戴了面具。大家猜测这可能是学生所为，并讨论了安保监控的有效性，最后希望尽快抓到人。,30.77,13.48,26.37,71.08
gemma4:e4b,哈维尔最初很想在warsaw ink纹身，但价格太高了。他决定去哥伦比亚做纹身。,贾维尔询问了当地是否有说英语的纹身店，朱迪推荐了“Warsaw Ink”，并展示了女友在那儿纹身的照片。贾维尔对效果很满意，但得知价格是1000后感到震惊，最终决定回哥伦比亚纹身。,38.36,11.27,30.14,73.01
gemma4:e4b,托马斯住的地方晚上的温度是零下3摄氏度。早晨有霜。佐伊在热带。托马斯星期天在贝尔钦峰附近散步。,佐伊和托马斯寒暄问候，分享了各自的近况。托马斯分享了当地天气和一次在贝尔申山顶徒步的照片，佐伊称赞了美景，并表示自己暂时无法欣赏这样的景色。两人互相道晚安，保持联系。,24.66,5.63,16.44,62.28
