model_name,sample_index,error_label,human_error_label,Review_Notes,reference,prediction,dialogue,rouge1,rouge2,rougeL,bs_f1_raw,informativeness,clarity,plausibility,faithfulness,Length Ratio
aya-expanse:8b,66,NO-ERROR,NO-ERROR,The summary accurately reflects the dialogue's key facts and relations.,布鲁克要盖尔过来看看昨天发生了什么。,昨天发生了点事，布鲁克让盖尔回来看看。盖尔问情况严重吗？布鲁克建议他回家。盖尔说马上就到。,"Brook: something happened yesterday, you need to come and see
 Gyle: is it bad?
 Brook: you better come home
 Gyle: On my way",34.29,12.12,17.14,75.74,3.199820042,3.790375948,3.880349636,3.083240747,2.500000
aya-expanse:8b,67,LANG,LANG,The output reproduces speaker turns instead of providing a summary.,凯特、米丽娜和里贾娜的演讲进行得很顺利，三个人来听他们的演讲。,"米莱娜：演讲怎么样？
 凯特：很好。
 雷吉娜：是的，我们收到了积极的反馈。
 米莱娜：你有多少人来听你的演讲？
 雷吉娜：三个人，但我们知道会是一个温馨、友好的氛围。
 米莱娜：有时候一个小但热情的观众比无聊的人群要好。
 凯特：完全同意。","Milena: How was the presentation?
 Kate: very good
 Regina: yes, we had a good feedback
 Milena: how many people came to listen to you?
 Regina: 3 but we new it will be very cosy, friendly thing
 Milena: sometimes a small but interested audience is better than random bored people
 Kate: exactly",24.18,8.99,17.58,65.41,2.732972383,3.723423719,3.751284838,2.794140339,3.516129
aya-expanse:8b,68,NO-ERROR,NO-ERROR,The summary accurately reflects the dialogue's key facts and relations.,杰克今年拿到了第一个totw ，汤姆的团队并不出色。,杰克刚抽中了本年的首张“TOTW”卡。他计划在尝试过几场比赛后出售，因为该球员不适合他的阵容。汤姆表示今年运气不佳，没有抽到优秀球员。杰克安慰他说，作为游戏高手，他不需要帮助。,"Jake: dude, I just pulled a TOTW
 Jake: my first this year!
 Tom: grats!
 Tom: gonna sell it?
 Jake: yeah
 Jake: I'll try him in one or two matches
 Jake: he's not a good fit for my squads
 Tom: you'll have plenty of coins to buy someone that fits
 Jake: that's the plan
 Jake: I got lucky with this one
 Tom: my pull luck sucks this year
 Tom: not a single great player 
 Jake: you're good at the game
 Jake: you don't need help :P
 Tom: I like shiny things :P",22.86,5.88,17.14,69.44,3.576072931,3.852822781,3.996872663,2.935658932,3.520000
aya-expanse:8b,69,LANG,LANG,The output reproduces speaker turns instead of providing a summary.,凯斯送给外孙乔丹20英镑和一张生日卡，作为他11岁生日的礼物。,"卡丝：亲爱的，你生日卡片和钱收到了吗？
 

 乔丹：嗨，奶奶！谢谢20英镑。对不起，我没提前打电话给你。
 

 卡丝：你还是喜欢托马斯小火车吧？我特意挑的。
 

 乔丹：是的，奶奶。我永远爱他！下次，给我买一个足球主题的吧？我现在11岁了！
 

 卡丝：我知道，你长得很快。爱你！
 

 乔丹：爱你，奶奶！","Cass: Hi darling, did you get your birthday card and money on time?
 Jordan: hello Nanna! Thanks for the £20. Sorry I didn't ring you before.
 Cass: you still like Thomas the Tank engine don't you? I picked it specially.
 Jordan: Yes, Nanna. I will always love him! Next time, get me a football one or something. I mean, I'm 11 now!
 Cass: I know, you are so grown up. Love you xxxxx
 Jordan: Love you, Nan xx",17.86,3.64,12.5,59.77,4.743051052,4.675529480,4.782354355,4.401534081,4.290323
aya-expanse:8b,70,H-EVT,H-EVT,It changes Kelly choosing the first question into Kelly wanting to answer first.,对杰西卡来说，最恐怖的地方是巴勒莫的僧帽猴地下墓穴。,凯利想先回答问题。杰西卡分享了她在意大利巴勒莫的经历，提到那里有著名的卡普奇尼地下墓穴，里面有8000具尸体。她描述道，这些尸体被展示在像博物馆展品一样，大部分穿着衣服，只有头骨和手。米基和奥利对这个故事感到兴奋，决定记下来。,"Kelly: Oh! Oh! Can I pick the first question?
 Jessica: Sure. Go for it!
 Kelly: What's the scariest place you've been to!
 Jessica: I'll start: Palermo in Italy.
 Mickey: And what's so scary about that? Did you break your nail? :P
 Jessica: Shut it, Mickey! No, there are the Capuchin Catacombs with 8000 corpses! 
 Kelly: Ewwww! Corpses? Rly?
 Jessica: Yeah! And you can look at them like museum exhibits. I think they're divided somehow, but have no clue how!
 Ollie: That's so cool! Do you get to see the bones or are they covered up?
 Jessica: Well, partly. Most of them were exhibited in their clothes. Basically only skulls and hands. 
 Mickey: I'm writing this one down! That's so precious!
 Ollie: Me too!",20,5.13,12.5,64.78,2.355443239,3.105425596,2.884539127,2.215308666,4.346154
aya-expanse:8b,71,H-DISC,H-DISC,It distorts economic backwardness being an advantage into an opportunity to become backward.,西蒙和查理钦佩波兰的反移民政策和捍卫自身价值观和利益的方式。,"西蒙和查理讨论了欧盟的移民政策对欧洲各国安全的影响。他们分析了德国、比利时和巴黎在节日期间采取的安全措施，同时强调波兰作为最后一个未受到无控制移民和恐怖主义影响的国家的独特地位。
 

 西蒙认为波兰有机会在经济上落后几十年，但也可以避免其他西方国家犯下的错误，快速发展。他赞扬波兰人民捍卫价值观和利益的意志，并预测未来波兰可能成为欧洲内部解决问题的主要力量。
 

 查理则担忧波兰内部冲突的风险，但两人都希望波兰能度过难关，享受一个安宁的圣诞节。","Simon: <file_photo>
 Simon: It's funny and scary at the same time.
 Simon: BTW it's so annoying that people can't see that such immigration policy reduces safety level for citizens of EU significantly
 Charlie: This photo is great. It totally shows what do we all mean when we criticize EU policy. 
 Charlie: Berlin has put concrete blocks around Christmas fair, Belgium has soldiers running armed around cities and Paris has mass demonstrations and car arsons happening all over the city.
 Charlie: Poland though...
 Charlie: One of the last countries unspoilt by uncontrolled migration and terrorism
 Charlie: The question is - for how long...
 Simon: I always say that there is advantage of the polish situation
 Simon: I mean being economically delayed for few decades
 Simon: Poland has a chance to develop in fast pace and at the same time has a position to avoid all the mistakes other western powers made.
 Simon: The worst thing is that the country is being ostracized by defending it's values and interests. 
 Charlie: Yup. And as long as there are people in Poland ready to defend that values, the country will be marginalized by every other nation.
 Simon: I admire Poles.
 Simon: I admire them for they will to fight.
 Simon: They never give up.
 Charlie: Different countries tried to eliminate them from the map.
 Simon: I tell you, there will be time, when only Poland will have power to fight with internal problems of Europe.
 Charlie: Maybe. But there is a risk that internal conflict will rip the country apart.
 Simon: Let's hope not.
 Charlie: Yup. To conclude: Christmas in Poland will be the best Christmas in Europe :D
 Simon: I agree :)",19.26,9.02,17.78,68.29,3.336988926,3.963824034,4.107819557,3.604941845,7.166667
aya-expanse:8b,72,H-DISC|H-EVT,H-DISC|H-EVT,It treats the group's satire as sincere support and turns Matt's joke into a real threat.,艾德、瓦莱丽、里斯、罗、艾妮、杰西卡、马特都在嘲笑没有婚姻的性爱的罪恶。,Ed 认为性行为仅限已婚夫妇，并严厉批评其他人的观点。Valerie 和 Chris 反驳说，即使是传统任务式性行为也并非绝对正确。Lor 幽默地表示，如果不遵守这些规则，在来世可能会感到内疚。Atnee 和 Jessica 支持 Ed 的观点，认为性行为的唯一目的是生育。Matt 开玩笑地威胁要把Ed送入地狱。Ed 坚定地维护自己的立场，拒绝看其他男性。,"Ed: Sinners!! Sex is for married people
 Valerie: double sin if it’s anything but missionary style!
 Chris: Then you go get married & leave us all alone
 Lor: You better hope all non sin living is worth it or your consciousness after death is going to be butt hurt for eternity lol
 Atnee: Ed, take it easy
 Jessica: And the only purpose for sex is to make babies! !! That's it, hahaha 😂
 Atnee: Lol
 Ed: Valerie , triple sin if you enjoy it!
 Jessica: And only for procreation. :-))) And not to be enjoyed. :-)))
 Matt: Ed, Ok. See you in hell !! 😂
 Ed: Matt , No you won’t. I don’t even look on the direction of another man",15,0,15,59.89,1.995623350,3.637745857,3.757620573,2.208106518,4.638889
aya-expanse:8b,73,LANG,LANG,The output reproduces speaker turns instead of providing a summary.,迈克在伦敦。,"杰克：天啊！你在伦敦？！
 迈克：（附照片）
 迈克：是的，兄弟！梦想成真了！
 杰克：酷！恭喜你！","Jake: Maaaan! you in london?!
 Mike: <file_photo>
 Mike: yeah mate! dreams coming true!
 Jake: cool! congrats!",18.18,6.45,12.12,65.25,2.602609158,4.187593460,4.260396481,3.846575975,7.333333
aya-expanse:8b,74,H-CIRC|OMIT,H-CIRC|OMIT,It changes 60 minutes of play into the first half and omits Jose's trust in the player.,里奇和克莱看了一场非常精彩的足球比赛，一个足球运动员把球铲回自己的脚边，特别刺激。何塞信任那个球员。,里奇和克莱讨论了波格巴的出色表现。里奇称赞波格巴的进球，并指出他在赛季中变得更加成熟。克莱同意，并认为波格巴值得在上半场后得到进球奖励。他们都对波格巴的表现感到高兴。,"Richie: Pogba
 Clay: Pogboom
 Richie: what a s strike yoh!
 Clay: was off the seat the moment he chopped the ball back to his right foot
 Richie: me too dude
 Clay: hope his form lasts
 Richie: This season he's more mature
 Clay: Yeah, Jose has his trust in him
 Richie: everyone does
 Clay: yeah, he really deserved to score after his first 60 minutes
 Richie: reward
 Clay: yeah man
 Richie: cool then 
 Clay: cool",22.78,5.19,22.78,63.49,3.211324930,3.912443876,3.985480309,2.780253172,1.660000
aya-expanse:8b,75,NO-ERROR,NO-ERROR,The summary accurately reflects the dialogue's key facts and relations.,亚历克看到美国的达人秀，他发了个链接给亚莉克莎。,亚历克问艾丽莎是否看过最近的《美国达人秀》。艾丽莎没有看。亚历克发送了一个视频链接，但最初无法打开。经过一会儿，链接成功了。亚历克建议艾丽莎观看，并表示她会喜欢的。艾丽莎同意，并称赞那个女孩很棒。她表示希望自己年轻时有那女孩一半的技能。亚历克也认为那个女孩表现出色，甚至可能赢得该届比赛。艾丽莎问亚历克是否看过所有参赛者，亚历克回答是的，并表示他个人觉得那个女孩是最好的。艾丽莎希望她能获胜。,"Alec: Have you seen the last America's got talent?
 Alexa: No. 
 Alexa: Interesting? 
 Alec: <file_other>
 Alexa: The link doesn't work. 
 Alec: Give me a sec.
 Alec: <file _other>
 Alexa: Now it's working!
 Alec: good, watch it, u'll like it
 Alexa: you're right, I like it :)
 Alexa: The girl is amazing!
 Alec: :)
 Alexa: I wish I have had half her skills when I was her age! 
 Alec: She's very good, that's true. 
 Alec: I even thik she might win the edition.
 Alexa: Did you see all candidates?
 Alec: yes
 Alec: And there're a few good, but I personally think she's the best!
 Alexa: I'd be glad if she wins :)",9.45,0,7.87,67.03,3.267062664,4.140565872,4.140560150,3.665133953,8.166667
aya-expanse:8b,76,LANG,LANG,The output reproduces speaker turns instead of providing a summary.,詹姆斯要去上班，所以他不看比赛。,"汉娜：你在看比赛吗？
 詹姆斯：不，我要去工作。
 汉娜：哦，好的。","Hannah: Are you watching the game?
 James: No I am head to work : ( 
 Hannah: Oh okay",37.5,6.67,18.75,72.16,2.753937721,4.877734184,4.826933861,4.319472313,1.875000
aya-expanse:8b,77,LANG,LANG,The output reproduces speaker turns instead of providing a summary.,在多尔夫的提醒下，齐格勒明天会把护照带来。,"多尔夫：明天记得带护照。
 齐格勒：好的，我会记住的。","Dolph: hey
 Dolph: remember to bring your passport tomorrow
 Ziggler: Cool, i will",48.28,14.81,34.48,73.84,2.874571323,4.109178543,4.049514294,3.313618898,1.190476
aya-expanse:8b,78,NO-ERROR,NO-ERROR,The summary accurately reflects the dialogue's key facts and relations.,威廉在做意大利面，奥莉维亚会给威廉买新鲜的西红柿，贝丝会买巧克力。,威廉正在做意大利面，请奥利维亚买一些新鲜番茄。贝丝会买点巧克力作为晚餐后甜点。,"William: hey im making spaghetti
 William: could you please buy some fresh tomatoes
 William: pretty please :)
 Olivia: no problem dear :)
 William: and Beth? it wouldn't hurt to have some chocolate for after the dinner :D
 Beth: I'm on it :D",51.28,21.62,51.28,83.88,4.184985161,4.622252941,4.636034489,3.668666124,1.181818
aya-expanse:8b,79,NO-ERROR,NO-ERROR,The summary accurately reflects the dialogue's key facts and relations.,蒂娜必须学习黛米的方法，即如何从讨厌男人转变成和他们约会。,蒂娜（Tina）抱怨Facebook不断推荐帕特里克（Patrick），德米（Demi）笑了。蒂娜表示她需要学习如何从仇视男性到与他们建立关系，并提到在经历重大心碎后，德米成功地改变了自己。她们讨论了关于喜欢不同类型男性的观点，并计划组织相关工作坊。蒂娜表示她只喜欢一种类型，但德米建议她放松一点，探索其他可能性。蒂娜表达了希望独立于他人情绪的需求，德米表示理解。她们约定见面，并开玩笑说如果蒂娜无家可归，德米会收留她。,"Tina: Hey, Facebook is constantly non stop suggesting Patrick
 Demi: Hahahahaha 
 Tina: I think I have to catch a bit of your approach
 Demi: He's a god. What do you mean...?
 Tina: I have to learn how to transfer from hating men to fucking them haha
 Demi: (Y)
 Tina: as soon as possible
 Demi: Haha! Yeah. I did it, you're right. But i worked on it hard after a huge heartbreak
 Tina: <file_gif>
 Demi: (Y) currently i like men. you have to be chilled with them ;)
 Tina: <file_gif>
 Demi: :D maybe its a mistake... i dont know. Lets organize workshops on that :D
 Tina: I only like one type :D yes plz do it haha
 Demi: Done! but maybe you should chill a bit, look around for ather types ...and see what happens
 Tina: I only dont what my mood depend so much on other people
 Demi: I know! I know it well!
 Tina: this renting case is eating me
 Demi: you have to isolate one bit inside that will be always independent
 Tina: we have to meet, crazy girl!
 Demi: for sure. if youre homeless i will take under my roof
 Tina: between the guyshaha
 Demi: we ll find something
 Tina: <3",10.69,1.55,7.63,65.75,3.643151760,4.066765785,4.219170570,3.457910538,7.241379
aya-expanse:8b,80,H-ENT,,It mistranslates 'function' as a technical feature rather than an event.,埃文会让伊森来的。,艾莉森问埃文是否和伊桑讨论了功能问题。埃文回答已经这样做了，并说伊桑可能不会来。艾莉森要求埃文想办法让伊桑来，埃文表示会尽力。,"Allison: You talked to Ethan about the function? 
 Evan: Yeah I did
 Allison: What did he say?
 Evan: He might not come
 Allison: Can you do something about that?
 Evan: I will try to make him come
 Allison: K",13.95,0,9.3,69.09,2.585072279,4.012783051,3.883426666,2.999432564,7.000000
aya-expanse:8b,81,H-CIRC,,It changes the proposed retake from next year to next semester.,巴特这学期成绩不好，因为他学习不多。他花很多时间玩星际争霸。阿德里安考得好是因为上课专心听讲。,巴特已经收到了自己的成绩单，发现整个学期都表现不佳。他因为经济学的最终考试失败而感到沮丧。阿德里安建议他下学期再考，并分享了自己的学习方法——上课认真听讲，不需要花太多时间复习。巴特承认自己因为玩《星际争霸》而分心，承诺不再在学校期间玩游戏，但表示会适量娱乐。,"Adrian: Did you get your grades yet?
 Bart: Yeah. My whole semester is screwed up now.
 Adrian: Wait whaaat? Why?
 Bart: Well, I bombed my economy final and ended up with a bad score..
 Adrian: Ouch. That must hurt :/ 
 Bart: Well, it's my fault because I didn't study as much as I should have.
 Adrian: Why don't you re-take the class next year?
 Bart: That's what I plan on doing unless I keep screwing up. How did you do this semester?
 Adrian: I didn't do that bad. I ended up with a reasonable grade.
 Bart: Well someone did his homework :p
 Adrian: I just pay attention during class, I don't study that much actually.
 Bart: Classes are boring, can't pay attention for too long...
 Adrian: Anyway, why didn't you study for the economy final? 
 Bart: Let's just say I screwed up more than my econ class.
 Adrian: What happened?
 Bart: I started playing StarCraft and ended up wasting a lot of time.
 Adrian: Oooohh I know that game but you better stop slacking off.
 Bart: You're right. I'm not going to play games during school anymore.
 Adrian: You can play them, just don't loose focus and study for the exams :p
 Bart: Let's see how it goes xD",27.08,4.26,20.83,71.83,3.696356297,3.746792793,3.996495724,3.443576574,2.765957
aya-expanse:8b,82,H-ROLE,,It mixes up Sean calling Tiffany a wasp with Tiffany saying Sean may be haunted.,肖恩相信他的灵兽是乌龟，而蒂芙尼可能是黄蜂。,肖恩经过深思熟虑后决定自己的精神动物是乌龟。他最近才知道每个人都有一个，感觉很迷失，不知道自己到底是谁。经过多日思考，他终于确定自己是乌龟。蒂芙尼认为他可能只是被困扰了，建议他可能不是乌龟，而是黄蜂。,"Sean: After much thought I’ve decided that my spirit animal is a tortoise. Apparently everyone has one now, I only found out about this recently. Tbh I felt lost, like who even am I? After many days of thinking about I finally decided that I am in fact a tortoise.
 Tiffany: That would explain a lot.
 Sean: You would be a wasp.
 Tiffany: Are you sure you're a turtle? Maybe you're just haunted.",24.32,5.56,18.92,71.25,3.693342924,3.983312845,4.198701859,3.691142082,4.545455
aya-expanse:8b,83,H-ROLE,,"It says George initiated the question about fruit, although Kate did.",凯特正在给她和乔治买苹果。他们得等到下周才能买到橘子。,凯特在超市，乔治问她是否为明天学校买些水果。乔治想要一个苹果，凯特也打算买一个。乔治还询问橙子是否有货，凯特回答下周才到货。,"Kate: I'm at the grocery store. Do you like some fruits for school tomorrow?
 George: Oh yes please, an apple would be great
 Kate: Okay, I'm getting me one too
 George: Do they have tangerines yet?
 Kate: No the're coming next week, I asked already:D
 George: Okat then we have to wait",28.57,3.7,21.43,71.54,3.637314081,4.004369736,4.044694901,3.150078058,2.296296
aya-expanse:8b,84,H-ENT,,It changes the giraffe in the Skittles commercial into a zebra.,茱莉亚回来后会给罗纳德打电话，他有事要告诉她。,罗纳德问朱莉周末过得怎么样，朱莉回答还好但家里有些不和谐，父母在争论吃什么。朱莉表示不再想和他们一起吃饭。罗纳德表示同情并邀请朱莉周末后打电话给他，说有事情要告诉她，可能会让她开心起来。朱莉调侃地回应说她看到了“彩虹斑马”。,"Ronald: How's your weekend?
 Julia: Fine I guess...
 Ronald: Doesn't sound like you're enjoying it
 Julia: Ehh. My parents are having a fight over where should we eat
 Julia: And honestly I don't event want to eat with them anymore
 Ronald: I'm sorry
 Julia: Yup. Me too.
 Ronald: Call me when you get back.
 Ronald: I've got something to tell you, and I'm sure you're gonna piss rainbows
 Julia: Hahaha. I can see the giraffe from Skittles comercial :D
 Ronald: Sth like that",20.51,5.26,15.38,69.12,3.736596346,3.969122410,4.074217796,3.418635845,4.869565
aya-expanse:8b,85,H-ROLE,,It assigns the good-night wish to Matthew instead of Lisa.,马修感冒了，他要喝些橙汁，然后去睡觉。,马修感冒了，需要大家支持。丽莎建议他喝橙汁，做点汤，并鼓励他坚持下去。马修表示会尝试。他透露可能是过敏加上病毒导致的。丽莎表示很抱歉，建议他休息，好好睡觉。马修同意，并祝晚安。,"Matthew: I have a cold. Need y'all support. It's painful
 Lisa: Fight it. Drink orange juice. Make some soup
 Matthew: I'll try
 Lisa: I believe in u 
 Matthew: Thank u. Apparently it's an allergy mixed up with virus
 Lisa: Ahh it sucks. 
 Lisa: Take a rest from evrthg.  
 Matthew: Ikr. Hitting the hay now
 Lisa: Good night 'Thew!",24.24,15.62,24.24,72.28,4.195843697,4.341154099,4.496795177,3.814122915,4.631579
aya-expanse:8b,86,H-ENT,,It gives Umberto Eco an unsupported incorrect first name.,乔茜觉得艾柯的小说《福柯的钟摆》书呆子气。乔茜很想读意大利的艾柯，但她对自己的语言能力没有把握。斯特凡诺认为艾柯的两部小说很难。乔茜读过萨勒曼拉什迪对《福柯的钟摆》的一个负面评论。,斯蒂芬诺和乔西讨论了福柯的摆（Foucault's Pendulum）。乔西觉得这本书很奇怪，而且怀疑作者是不是意大利人。斯蒂芬诺解释说，乌菲克·埃科（Umberto Eco）是个“书呆子”，而不是所有意大利书籍都关于披萨、黑手党和曼多林。乔西表示她想尝试读原版意大利文小说，但担心自己的意大利语水平不足。斯蒂芬诺提到《玫瑰的名字》（The Name of the Rose）对非母语者来说非常困难。他解释说，《福柯的摆》设定在80年代，语言更容易理解，但内容同样复杂。乔西分享了她读过的萨曼·鲁什迪（Salman Rushdie）对《福柯的摆》的负面评论，称它不像小说，而像电脑游戏。斯蒂芬诺开玩笑说这很荒谬。两人最后开玩笑调侃对方。,"Stefano: Hi, Josie!
 Josie: Ciao, Stefano!
 Stefano: So, what about Foucault's Pendulum? Do you like it?
 Josie: It's... weird. Was it really written by an Italian guy? It's so... nerdy.
 Stefano: Oh well, in a sense Eco was the king of nerds. And, you know, not all Italian books are about pizza, mafia and mandolino. :P
 Josie: Yes, I know... I should try and read one of his novels in the original, but I'm not sure my level of Italian is adequate.
 Stefano: The Name of the Rose is really difficult for a foreign speaker of Italian, you know.
 Josie: And what about Foucault's Pendulum?
 Stefano: Well, it's set in the 1980s, so the language is definitely more comprehensible. The content, however, is just as complicated as in the other novel.
 Josie: Btw, I read Salman Rushdie's review of Pendulum, published in the 80s.
 Stefano: Really? What did he say?
 Josie: He hated it and said that it's not a novel, but rather a computer game.
 Stefano: What? Rotfl!
 Josie: That's what Salman said...
 Stefano: Oh well, de gustipus non est disputandum...
 Josie: De gustiBus!
 Stefano: I know, it was a typo!
 Josie: Disgusting pus!
 Stefano: Hahaha.
 Josie: Yuk! That's so creepy.
 Stefano: You're the one who said it!
 Josie: I know. ;)",27.31,8.89,20.26,70.47,2.726562262,3.540924788,3.803079367,2.734322071,3.455556
aya-expanse:8b,87,NO-ERROR,,The summary accurately reflects the dialogue's key facts and relations.,下雨了，所以瓦尔和坎迪要等半小时才走。,下雨了！Val建议出门会湿，Candy认为先等一会儿看看是否停雨。Val同意等待半小时再决定，并约定在那时通过电话商量。,"Val: it's raining!
 Candy: I know, just started...
 Val: r we going? we will be wet
 Candy: maybe wait a little? see if stops
 Val: ok. let's wait half h and than see
 Candy: god idea, I call u then
 Val: great :)",23.81,10,23.81,68.58,2.405369282,3.266927958,3.527332783,2.469705105,3.157895
aya-expanse:8b,88,OMIT,,It omits Sierra from the people who had not yet received the grant.,托马斯、谢拉和杰里米仍然没有收到赠款。托马斯破产了，每小时都要查看他的银行账户。塞拉提出借钱给他。,托马斯和杰里米都还没有收到资助。托马斯因为资金短缺而焦急地每小时检查一次银行账户。西拉安慰他，表示如果需要可以借给他一些钱，并建议他保持耐心。,"Tomas: Has anybody received the grant yet?
 Sierra: no, not yet
 Jeremy: I haven't checked even
 Tomas: I'm completely broke
 Tomas: checking my bank account every hour
 Tomas: but nothing's happening there
 Sierra: lol
 Sierra: be patient. If you need money I can lend you some, don't worry
 Tomas: Thanks, I hope they'll arrive any minute",49.28,17.91,37.68,79.22,3.838283539,3.891729832,4.025917530,3.046482325,1.448980
aya-expanse:8b,89,H-ROLE|OMIT,,It makes the hangover a shared experience and omits Camilla's Saturday errands.,卡米拉周六有一些差事要办。查尔斯本周末将访问德国市场。他们正在谈论圣诞食品和饮料。,查尔斯和卡米拉讨论了周末计划。查尔斯计划去伯明翰和曼彻斯特的德国市场，品尝香肠和啤酒。卡米拉表示会尝试去，因为她很久没有去过。他们还聊到了热红酒（多加香料的红葡萄酒），查尔斯推荐一定要试试。他们都开玩笑说自己会喝得头痛。最后，他们互相祝愿周末愉快。,"Charles: What are you up to this weekend?
 Camilla: Not much. Just some work and errands on Saturday, show Saturday night. Day of nothingness on Sundy.
 Charles: Sounds good. We are going to visit the German markets this weekend. Birmingham and Manchester both. Sausage overload!
 Camilla: Ooh, that sounds really good!
 Charles: Allegedly there are Christmas things going on but I just go for the sausage and beer!
 Camilla: What a shocker.
 Charles: I know!
 Camilla: I'll have to try to get there this year. I've not been for ages.
 Charles: Oh, yeah, they are good. Try the mulled wine too. That's nice.
 Camilla: Never had it. Is it served hot?
 Charles: Yes, exactly. And lots of spices. Usually a red but sometimes they offer a mulled white.
 Camilla: I'm good with red.
 Charles: Inspired us to make our own at Christmas last year, but nobody else drank it.
 Camilla: Bummer!
 Charles: More for me! But oh the hangover.
 Camilla: LOL!
 Charles: Anyway, that's the plan. Hope you have fun.
 Camilla: You too! 
 Charles: Thanks!",23.66,8.79,15.05,66.98,3.424622297,4.062095642,4.075767517,3.339425802,3.024390
aya-expanse:8b,90,LANG,,The output reproduces speaker turns instead of providing a summary.,戴安娜和拉塞尔在给妈妈买礼物。,Russell 发送了一张文件，并说：“看看这个，这是给妈妈的完美礼物：D” Diana 笑着点头，表示价格很合理。然后她问：“我们买它吗？” Russell 兴奋地回答：“当然！”,"Russel: <file_other>
 Russel: look at this
 Russel: It's a perfect present fo mum :D
 Diana: haha, so true! It's not that expensive either!
 Diana: are we buying it?
 Russel: yeah, let's do it :D",13.79,3.57,10.34,59.7,4.601106644,4.723890305,4.794567585,3.676757812,5.733333
aya-expanse:8b,91,LANG,,The output reproduces speaker turns instead of providing a summary.,安斯利病了，所以她现在不能帮简写论文。,"简：你现在有空吗？能帮我看看那篇论文吗？
 

 安斯利：抱歉，我生病了，不太能帮上忙。我感冒了，每两秒就打一个喷嚏。
 

 简：哦...好吧，希望你很快好起来...","Jane: Are u free now? Could u help me with that thesis?
 Ainsley: I'm sick won't be of much help sorry. I've got a cold and I'm sneezing like a little bitch every 2 seconds
 Jane: Oh... hmm ok. Hope u will get better soon...",16.67,3.45,13.33,66.27,2.800080299,4.927882195,4.925367355,4.738393784,3.894737
aya-expanse:8b,92,NO-ERROR,,The summary accurately reflects the dialogue's key facts and relations.,菲奥娜爱上了他的学生康拉德。,菲奥娜无法忍受与康拉德（她的学生）在一起的感觉，即使他只有她五岁。万达认为这种情况太过分，并指出菲奥娜对他的感情已经超出界限。菲奥娜承认自己无法控制这种情感，担心如果被上司发现会造成麻烦。万达鼓励她勇敢面对并采取行动。,"Fiona: I just can’t stand it
 Wanda: What again
 Fiona: When I’m in one room with him… I just go crazy
 Wanda: Conrad?
 Fiona: Yesss, he’s absolutely lovely!!
 Wanda: IT IS YOUR STUDENT
 Fiona: So what? I mean sure, I know it’s… inappropriate xd but still, he’s only 5 years younger than me
 Wanda: It’s so fucked up, I knew you are crazy before but it’s too much
 Fiona: I knoooow when I come back home after the class I can’t do anything for like an hour or two, I just listen to the music
 Wanda: You’re literally in love with him
 Fiona: I mean I don’t expect anything, we’re from different worlds but… Yes, I just want to be around him. All the time xd
 Wanda: So you need to do something about it
 Fiona: Are you crazy, I can’t!!
 Wanda: Why not
 Fiona: What would my boss say if she knew
 Wanda: Will she know?
 Fiona: How can I know what will he do, he can tell his mother as well
 Wanda: Just go for it!!",14.71,6.06,8.82,66.13,2.884543657,4.063350677,4.006632805,3.218590498,7.785714
aya-expanse:8b,93,H-DISC,,It presents the 17th as an agreed alternative even though Evans may also be away then.,玛格丽特和埃文斯计划在4日10点和11日11点会面。他们两人都不确定下一次见面的时间，所以他们会在晚些时候定一下约会的日期。,玛格丽特提议在12月4日和11日10点或11点见面，埃文斯确认了这两个时间。玛格丽特还提到了18日，但埃文斯不确定是否能到。他们同意如果18日不可行，可以改到17日，但埃文斯可能也无法参加。最终决定在12月4日10点见面，并约定下周再讨论其他时间。,"Margaret: Hi, in December I'd like to meet on 4th and 11th around 10:00 or 11:00. 
 Evans: Hi, 4th - we can meet at 10:00.
 Evans: And 11th - at 11:00. 
 Margaret: Okey. And what about 18th?
 Evans: I'm not sure about 18th. 
 Evans: I might not be in town. 
 Margaret: Okey, so we'll see. 
 Evans: Yes. And I'll let you know next week. 
 Margaret: If it's not 18th, maybe we could meet on 17th?
 Evans: If I go away, I won't also be 17th.
 Margaret: Okey, I get it. 
 Evans: But we could meet 14th, if you like?
 Margaret: Hm, I'm not sure whether I'm avaliable. 
 Evans: So let's set these dates later, ok?
 Margaret: Okey and we see each other 4th 10:00. 
 Evans: Yes!",35.09,16.07,26.32,74.04,3.118103027,3.888129473,3.984530210,2.929555178,2.000000
aya-expanse:8b,94,NO-ERROR,,The summary accurately reflects the dialogue's key facts and relations.,通过看照片，阿尔奇认为梅兰妮卷发更好看，路易斯不同意。,路易斯和阿奇在讨论一个GIF，看起来像梅兰妮。阿奇认为她以前留着卷发更漂亮，而路易斯则坚称直发更美。他们开玩笑地争论着，但都尊重对方的观点。,"Louis: <file_gif>
 Archie: Wtf? Lol!
 Louis: <file_gif>
 Archie: That one looks like Melanie
 Louis: True! Hahahahah
 Archie: Just like in this pic
 Archie: <file_photo>
 Louis: Lol! It's her!
 Archie: By the way, she was way hotter when she had cury hair
 Louis: I disagree, sir! She looks absolutely gorgeous with straight hair
 Archie: Oh well, you have the right to an opinion even if it's wrong XD",24.56,3.64,21.05,72.38,3.197440147,3.868765116,3.808062077,2.795321226,2.592593
